Time [s],Latitude [deg],Longitude [deg],Speed [m/s]
0,60.00001335,24.00002025,1.5
1,60.0000267,24.0000405,1.5
2,60.00004005,24.00006075,1.5
3,60.0000534,24.000081,1.5
4,60.00006675,24.00010125,1.5
5,60.0000801,24.0001215,1.5
6,60.00009345,24.00014175,1.5
7,60.0001068,24.000162,1.5
8,60.00012015,24.00018225,1.5
9,60.0001335,24.0002025,1.5
10,60.00014685,24.00022275,1.5
11,60.0001602,24.000243,1.5
12,60.00017355,24.00026325,1.5
13,60.0001869,24.0002835,1.5
14,60.00020025,24.00030375,1.5
15,60.0002136,24.000324,1.5
16,60.00022695,24.00034425,1.5
17,60.0002403,24.0003645,1.5
18,60.00025365,24.00038475,1.5
19,60.000267,24.000405,1.5
20,60.00028035,24.00042525,1.5
21,60.0002937,24.0004455,1.5
22,60.00030705,24.00046575,1.5
23,60.0003204,24.000486,1.5
24,60.00033375,24.00050625,1.5
25,60.0003471,24.0005265,1.5
26,60.00036045,24.00054675,1.5
27,60.0003738,24.000567,1.5
28,60.00038715,24.00058725,1.5
29,60.0004005,24.0006075,1.5
30,60.00041385,24.00062775,1.5
31,60.0004272,24.000648,1.5
32,60.00044055,24.00066825,1.5
33,60.0004539,24.0006885,1.5
34,60.00046725,24.00070875,1.5
35,60.0004806,24.000729,1.5
36,60.00049395,24.00074925,1.5
37,60.0005073,24.0007695,1.5
38,60.00052065,24.00078975,1.5
39,60.000534,24.00081,1.5
40,60.00054735,24.00083025,1.5
41,60.0005607,24.0008505,1.5
42,60.00057405,24.00087075,1.5
43,60.0005874,24.000891,1.5
44,60.00060075,24.00091125,1.5
45,60.0006141,24.0009315,1.5
46,60.00062745,24.00095175,1.5
47,60.0006408,24.000972,1.5
48,60.00065415,24.00099225,1.5
49,60.0006675,24.0010125,1.5
50,60.00068085,24.00103275,1.5
51,60.0006942,24.001053,1.5
52,60.00070755,24.00107325,1.5
53,60.0007209,24.0010935,1.5
54,60.00073425,24.00111375,1.5
55,60.0007476,24.001134,1.5
56,60.00076095,24.00115425,1.5
57,60.0007743,24.0011745,1.5
58,60.00078765,24.00119475,1.5
59,60.000801,24.001215,1.5
60,60.00082058,24.0012447,2.2
61,60.00084016,24.0012744,2.2
62,60.00085974,24.0013041,2.2
63,60.00087932,24.0013338,2.2
64,60.0008989,24.0013635,2.2
65,60.00091848,24.0013932,2.2
66,60.00093806,24.0014229,2.2
67,60.00095764,24.0014526,2.2
