Time [s],Latitude [deg],Longitude [deg],Speed [m/s]
0.0,60.00000028828829,24.0,1.6
0.02,60.000000576576575,24.0,1.6
0.04,60.000000864864866,24.0,1.6
0.06,60.00000115315315,24.0,1.6
0.08,60.00000144144144,24.0,1.6
0.1,60.00000172972973,24.0,1.6
0.12,60.000002018018016,24.0,1.6
0.14,60.00000230630631,24.0,1.6
0.16,60.0000025945946,24.0,1.6
0.18,60.00000288288288,24.0,1.6
0.2,60.00000317117117,24.0,1.6
0.22,60.00000345945946,24.0,1.6
0.24,60.00000374774775,24.0,1.6
0.26,60.00000403603604,24.0,1.6
0.28,60.00000432432432,24.0,1.6
0.3,60.000004612612614,24.0,1.6
0.32,60.0000049009009,24.0,1.6
0.34,60.00000518918919,24.0,1.6
0.36,60.00000547747748,24.0,1.6
0.38,60.00000576576576,24.0,1.6
0.4,60.000006054054055,24.0,1.6
0.42,60.000006342342346,24.0,1.6
0.44,60.00000663063063,24.0,1.6
0.46,60.00000691891892,24.0,1.6
0.48,60.000007207207204,24.0,1.6
0.5,60.000007495495495,24.0,1.6
0.52,60.000007783783786,24.0,1.6
0.54,60.00000807207207,24.0,1.6
0.56,60.00000836036036,24.0,1.6
0.58,60.000008648648645,24.0,1.6
0.6,60.000008936936936,24.0,1.6
0.62,60.00000922522523,24.0,1.6
0.64,60.00000951351351,24.0,1.6
0.66,60.0000098018018,24.0,1.6
0.68,60.00001009009009,24.0,1.6
0.7000000000000001,60.00001037837838,24.0,1.6
0.72,60.00001066666667,24.0,1.6
0.74,60.00001095495495,24.0,1.6
0.76,60.00001124324324,24.0,1.6
0.78,60.000011531531534,24.0,1.6
0.8,60.00001181981982,24.0,1.6
0.8200000000000001,60.00001210810811,24.0,1.6
0.84,60.00001239639639,24.0,1.6
0.86,60.000012684684684,24.0,1.6
0.88,60.000012972972975,24.0,1.6
0.9,60.00001326126126,24.0,1.6
0.92,60.00001354954955,24.0,1.6
0.9400000000000001,60.00001383783784,24.0,1.6
0.96,60.000014126126125,24.0,1.6
0.98,60.000014414414416,24.0,1.6
1.0,60.0000147027027,24.0,1.6
1.02,60.00001499099099,24.0,1.6
1.04,60.00001527927928,24.0,1.6
1.06,60.000015567567566,24.0,1.6
1.08,60.00001585585586,24.0,1.6
1.1,60.00001614414414,24.0,1.6
1.12,60.00001643243243,24.0,1.6
1.1400000000000001,60.00001672072072,24.0,1.6
1.16,60.00001700900901,24.0,1.6
1.18,60.0000172972973,24.0,1.6
1.2,60.00001758558559,24.0,1.6
1.22,60.00001787387387,24.0,1.6
1.24,60.00001816216216,24.0,1.6
1.26,60.00001845045045,24.0,1.6
1.28,60.00001873873874,24.0,1.6
1.3,60.00001902702703,24.0,1.6
1.32,60.00001931531531,24.0,1.6
1.34,60.000019603603604,24.0,1.6
1.36,60.000019891891895,24.0,1.6
1.3800000000000001,60.00002018018018,24.0,1.6
1.4000000000000001,60.00002046846847,24.0,1.6
1.42,60.000020756756754,24.0,1.6
1.44,60.000021045045045,24.0,1.6
1.46,60.000021333333336,24.0,1.6
1.48,60.00002162162162,24.0,1.6
1.5,60.00002190990991,24.0,1.6
1.52,60.000022198198195,24.0,1.6
1.54,60.000022486486486,24.0,1.6
1.56,60.00002277477478,24.0,1.6
1.58,60.00002306306306,24.0,1.6
1.6,60.00002335135135,24.0,1.6
1.62,60.00002363963964,24.0,1.6
1.6400000000000001,60.00002392792793,24.0,1.6
1.6600000000000001,60.00002421621622,24.0,1.6
1.68,60.0000245045045,24.0,1.6
1.7,60.00002479279279,24.0,1.6
1.72,60.000025081081084,24.0,1.6
1.74,60.00002536936937,24.0,1.6
1.76,60.00002565765766,24.0,1.6
1.78,60.00002594594594,24.0,1.6
1.8,60.000026234234234,24.0,1.6
1.82,60.000026522522525,24.0,1.6
1.84,60.00002681081081,24.0,1.6
1.86,60.0000270990991,24.0,1.6
1.8800000000000001,60.00002738738739,24.0,1.6
1.9000000000000001,60.000027675675675,24.0,1.6
1.92,60.000027963963966,24.0,1.6
1.94,60.00002825225225,24.0,1.6
1.96,60.00002854054054,24.0,1.6
1.98,60.00002882882883,24.0,1.6
2.0,60.000029117117116,24.0,1.6
2.02,60.00002940540541,24.0,1.6
2.04,60.00002969369369,24.0,1.6
2.06,60.00002998198198,24.0,1.6
2.08,60.00003027027027,24.0,1.6
2.1,60.00003055855856,24.0,1.6
2.12,60.00003084684685,24.0,1.6
2.14,60.00003113513514,24.0,1.6
2.16,60.00003142342342,24.0,1.6
2.18,60.00003171171171,24.0,1.6
2.2,60.000032,24.0,1.6
2.22,60.00003228828829,24.0,1.6
2.24,60.00003257657658,24.0,1.6
2.2600000000000002,60.00003286486486,24.0,1.6
2.2800000000000002,60.000033153153154,24.0,1.6
2.3000000000000003,60.00003344144144,24.0,1.6
2.32,60.00003372972973,24.0,1.6
2.34,60.00003401801802,24.0,1.6
2.36,60.000034306306304,24.0,1.6
2.38,60.000034594594595,24.0,1.6
2.4,60.000034882882886,24.0,1.6
2.42,60.00003517117117,24.0,1.6
2.44,60.00003545945946,24.0,1.6
2.46,60.000035747747745,24.0,1.6
2.48,60.000036036036036,24.0,1.6
2.5,60.00003632432433,24.0,1.6
2.52,60.00003661261261,24.0,1.6
2.54,60.0000369009009,24.0,1.6
2.56,60.000037189189186,24.0,1.6
2.58,60.00003747747748,24.0,1.6
2.6,60.00003776576577,24.0,1.6
2.62,60.00003805405405,24.0,1.6
2.64,60.00003834234234,24.0,1.6
2.66,60.000038630630634,24.0,1.6
2.68,60.00003891891892,24.0,1.6
2.7,60.00003920720721,24.0,1.6
2.72,60.00003949549549,24.0,1.6
2.74,60.000039783783784,24.0,1.6
2.7600000000000002,60.000040072072075,24.0,1.6
2.7800000000000002,60.00004036036036,24.0,1.6
2.8000000000000003,60.00004064864865,24.0,1.6
2.82,60.000040936936934,24.0,1.6
2.84,60.000041225225225,24.0,1.6
2.86,60.000041513513516,24.0,1.6
2.88,60.0000418018018,24.0,1.6
2.9,60.00004209009009,24.0,1.6
